"","scenario","year","variable","value","units","run_number"
"1","Unnamed Hector core",1959,"CO2_concentration",318.862491283631,"ppmv CO2",1
"2","Unnamed Hector core",1960,"CO2_concentration",319.747520865151,"ppmv CO2",1
"3","Unnamed Hector core",1961,"CO2_concentration",320.656387840451,"ppmv CO2",1
"4","Unnamed Hector core",1962,"CO2_concentration",321.570608877056,"ppmv CO2",1
"5","Unnamed Hector core",1963,"CO2_concentration",322.486651226978,"ppmv CO2",1
"6","Unnamed Hector core",1964,"CO2_concentration",323.365116305403,"ppmv CO2",1
"7","Unnamed Hector core",1965,"CO2_concentration",324.258233667557,"ppmv CO2",1
"8","Unnamed Hector core",1966,"CO2_concentration",325.236625089726,"ppmv CO2",1
"9","Unnamed Hector core",1967,"CO2_concentration",326.320226589097,"ppmv CO2",1
"10","Unnamed Hector core",1968,"CO2_concentration",327.455197206788,"ppmv CO2",1
"11","Unnamed Hector core",1969,"CO2_concentration",328.637576645365,"ppmv CO2",1
"12","Unnamed Hector core",1970,"CO2_concentration",329.899620919432,"ppmv CO2",1
"13","Unnamed Hector core",1971,"CO2_concentration",331.239754163365,"ppmv CO2",1
"14","Unnamed Hector core",1972,"CO2_concentration",332.556473290051,"ppmv CO2",1
"15","Unnamed Hector core",1973,"CO2_concentration",333.893216845487,"ppmv CO2",1
"16","Unnamed Hector core",1974,"CO2_concentration",335.326635931169,"ppmv CO2",1
"17","Unnamed Hector core",1975,"CO2_concentration",336.69734790319,"ppmv CO2",1
"18","Unnamed Hector core",1976,"CO2_concentration",338.00359139969,"ppmv CO2",1
"19","Unnamed Hector core",1977,"CO2_concentration",339.420847455312,"ppmv CO2",1
"20","Unnamed Hector core",1978,"CO2_concentration",340.910312568526,"ppmv CO2",1
"21","Unnamed Hector core",1979,"CO2_concentration",342.447116741073,"ppmv CO2",1
"22","Unnamed Hector core",1980,"CO2_concentration",343.994776661741,"ppmv CO2",1
"23","Unnamed Hector core",1981,"CO2_concentration",345.463168281024,"ppmv CO2",1
"24","Unnamed Hector core",1982,"CO2_concentration",346.85499904843,"ppmv CO2",1
"25","Unnamed Hector core",1983,"CO2_concentration",348.169626460278,"ppmv CO2",1
"26","Unnamed Hector core",1984,"CO2_concentration",349.4802982754,"ppmv CO2",1
"27","Unnamed Hector core",1985,"CO2_concentration",350.864027577742,"ppmv CO2",1
"28","Unnamed Hector core",1986,"CO2_concentration",352.305166628327,"ppmv CO2",1
"29","Unnamed Hector core",1987,"CO2_concentration",353.798852409502,"ppmv CO2",1
"30","Unnamed Hector core",1988,"CO2_concentration",355.339100522574,"ppmv CO2",1
"31","Unnamed Hector core",1989,"CO2_concentration",356.945433909363,"ppmv CO2",1
"32","Unnamed Hector core",1990,"CO2_concentration",358.571979166774,"ppmv CO2",1
"33","Unnamed Hector core",1991,"CO2_concentration",360.122291315294,"ppmv CO2",1
"34","Unnamed Hector core",1992,"CO2_concentration",361.670241647371,"ppmv CO2",1
"35","Unnamed Hector core",1993,"CO2_concentration",363.028231334548,"ppmv CO2",1
"36","Unnamed Hector core",1994,"CO2_concentration",364.350901653375,"ppmv CO2",1
"37","Unnamed Hector core",1995,"CO2_concentration",365.791860591139,"ppmv CO2",1
"38","Unnamed Hector core",1996,"CO2_concentration",367.356638343452,"ppmv CO2",1
"39","Unnamed Hector core",1997,"CO2_concentration",369.027855433337,"ppmv CO2",1
"40","Unnamed Hector core",1998,"CO2_concentration",371.063912196134,"ppmv CO2",1
"41","Unnamed Hector core",1999,"CO2_concentration",372.83100577646,"ppmv CO2",1
"42","Unnamed Hector core",2000,"CO2_concentration",374.551138506873,"ppmv CO2",1
"43","Unnamed Hector core",2001,"CO2_concentration",376.349670414547,"ppmv CO2",1
"44","Unnamed Hector core",2002,"CO2_concentration",378.072644178006,"ppmv CO2",1
"45","Unnamed Hector core",2003,"CO2_concentration",379.902698729542,"ppmv CO2",1
"46","Unnamed Hector core",2004,"CO2_concentration",381.793309699388,"ppmv CO2",1
"47","Unnamed Hector core",2005,"CO2_concentration",383.908905496427,"ppmv CO2",1
"48","Unnamed Hector core",2006,"CO2_concentration",386.122859683266,"ppmv CO2",1
"49","Unnamed Hector core",2007,"CO2_concentration",388.460154526842,"ppmv CO2",1
"50","Unnamed Hector core",2008,"CO2_concentration",390.867321859165,"ppmv CO2",1
"51","Unnamed Hector core",2009,"CO2_concentration",393.145875037795,"ppmv CO2",1
"52","Unnamed Hector core",2010,"CO2_concentration",395.378353437212,"ppmv CO2",1
"53","Unnamed Hector core",2011,"CO2_concentration",397.8364622471,"ppmv CO2",1
"54","Unnamed Hector core",2012,"CO2_concentration",400.413677590386,"ppmv CO2",1
"55","Unnamed Hector core",2013,"CO2_concentration",403.052622204546,"ppmv CO2",1
