variable,Surface Temperature
1995,0.5423647
1996,0.6063996
1997,0.6351304
1998,0.6723
1999,0.7265338
2000,0.7721305
2001,0.8056624
2002,0.8271414
2003,0.8442977
2004,0.8572337
2005,0.8681509
2006,0.8819067
2007,0.8989083
2008,0.9278041
2009,0.953976
2010,0.9755614
2011,1.006376
2012,1.033264
2013,1.065929
2014,1.09362
2015,1.115502
2016,1.134105
2017,1.157514
2018,1.180847
2019,1.208324
2020,1.234084
2021,1.261426
2022,1.292357
2023,1.323554
2024,1.34994
2025,1.37374
2026,1.394045
2027,1.413179
2028,1.430516
2029,1.451569
2030,1.472802
2031,1.494768
2032,1.517082
2033,1.545369
2034,1.575151
2035,1.605392
2036,1.636907
2037,1.66208
2038,1.688792
2039,1.712131
2040,1.733278
2041,1.751987
2042,1.773587
2043,1.795264
2044,1.818889
2045,1.846113
2046,1.874924
2047,1.903336
2048,1.93345
2049,1.959721
2050,1.978668
2051,1.994028
2052,2.011152
2053,2.027803
2054,2.044629
2055,2.065846
2056,2.087386
2057,2.109446
2058,2.130756
2059,2.151035
2060,2.168835
2061,2.18379
2062,2.19752
2063,2.212662
2064,2.228847
2065,2.246931
2066,2.267589
2067,2.292239
2068,2.315241
2069,2.33306
2070,2.348824
2071,2.364139
2072,2.378794
2073,2.392485
2074,2.405075
2075,2.417635
2076,2.430136
2077,2.443721
2078,2.459146
2079,2.476592
2080,2.493669
2081,2.509944
2082,2.524621
2083,2.536142
2084,2.546927
2085,2.554453
2086,2.562133
2087,2.568068
2088,2.576257
2089,2.587087
2090,2.600897
2091,2.615342
2092,2.630258
2093,2.641531
2094,2.646626
2095,2.649441
2096,2.650575
2097,2.653598
2098,2.655424
2099,2.660787
2100,2.667971
