"","value_obs","run1","run2","run3","run4","run5","run6","run7","run8","run9","run10"
"1",315.98,318.862491283631,322.489975976653,317.791508782229,317.905739361352,311.592260586358,314.161407033926,303.227097187449,314.308444102917,309.87323144607,316.547733246595
"2",316.91,319.747520865151,323.42772964414,318.660316162718,318.785116118085,312.364077156458,314.968780180729,303.865502246088,315.12178886061,310.630821514067,317.394877165388
"3",317.64,320.656387840451,324.391723601662,319.552262835116,319.687581427511,313.154041700543,315.796402884351,304.515926540118,315.955543349112,311.406299163484,318.264076440426
"4",318.45,321.570608877056,325.363555817665,320.450170516738,320.587437547755,313.949077137862,316.62554458675,305.138225744092,316.793973355232,312.15919303483,319.13593916329
"5",318.99,322.486651226978,326.340621210908,321.353050605442,321.47558646823,314.749859946771,317.455928249011,305.722596453015,317.635969786553,312.88099063974,320.008907753143
"6",319.62,323.365116305403,327.289339760427,322.239860707019,322.257531596463,315.556180870945,318.263795012861,306.101499721,318.461999041704,313.408218929662,320.849391366498
"7",320.04,324.258233667557,328.252714062822,323.13858009393,323.056592615484,316.371794569316,319.081928067497,306.504433249798,319.305161400805,313.967661607309,321.702385071333
"8",321.37,325.236625089726,329.299577886331,324.112208609725,323.964745958575,317.250186396763,319.974725473776,307.047024042029,320.224941192727,314.670419308016,322.635101727543
"9",322.18,326.320226589097,330.449794207596,325.176820116155,325.014813565531,318.199767188635,320.958071716252,307.773932750059,321.232171314197,315.558541310055,323.666007327825
"10",323.05,327.455197206788,331.65635981223,326.295719027986,326.105156508451,319.198876189031,321.991961721459,308.514336628038,322.285771071982,316.464036516504,324.747307302584
"11",324.62,328.637576645365,332.912512661106,327.458169501663,327.252661136813,320.230300977165,323.066223928983,309.314290716953,323.377466763398,317.433563926209,325.873267089995
"12",325.68,329.899620919432,334.250717036269,328.696274921779,328.490240514417,321.325930785881,324.21306670741,310.20615873988,324.539063557584,318.499602654261,327.076097582481
"13",326.32,331.239754163365,335.670488549132,330.010931853004,329.807474735974,322.489870684166,325.431991194616,311.162504348236,325.771589040687,319.636224305023,328.354277691782
"14",327.46,332.556473290051,337.071580278457,331.30326822968,331.095876460753,323.625081691421,326.623869618618,312.066632755173,326.976135742639,320.729475206491,329.607625585343
"15",329.68,333.893216845487,338.495002453555,332.612027177256,332.411736258461,324.767883507268,327.828419028038,312.99330002554,328.193672375682,321.851333747331,330.877755666239
"16",330.19,335.326635931169,340.017148549417,334.012355895999,333.836729420314,325.991105600042,329.121422731521,314.032295266835,329.498397039671,323.090862713468,332.241085690416
"17",331.13,336.69734790319,341.48103365876,335.349333482902,335.199955489192,327.141613759082,330.347308121422,314.995155534223,330.733130977153,324.26226606258,333.540094551623
"18",332.03,338.00359139969,342.886781604804,336.629516276306,336.477139974191,328.236125833338,331.512874396343,315.833449656951,331.905781887754,325.31669356157,334.776802608201
"19",333.84,339.420847455312,344.403388355824,338.013158113627,337.885532221875,329.423081329052,332.780141951507,316.82234973159,333.180748888137,326.524252644422,336.120740538593
"20",335.41,340.910312568526,345.994511133519,339.464335321263,339.377250530453,330.66682625658,334.112032577966,317.896503496921,334.51850348914,327.821998021653,337.533580327882
"21",336.84,342.447116741073,347.6362865081,340.96014290054,340.922906716111,331.945080108811,335.485225893961,319.0187906212,335.894874908399,329.173608238926,338.991347332583
"22",338.76,343.994776661741,349.292628751368,342.465369194889,342.48249520106,333.224107370386,336.864141768438,320.143662909929,337.274806828047,330.533997335877,340.458012452547
"23",340.12,345.463168281024,350.873581990085,343.891012232779,343.963333171414,334.416411233255,338.160082359069,321.177091317813,338.569813509426,331.809205878084,341.844227151163
"24",341.48,346.85499904843,352.381044869782,345.239637366883,345.370635638942,335.525150084798,339.377270691747,322.134611307135,339.783305560058,333.012179303031,343.153695908208
"25",343.15,348.169626460278,353.815886948131,346.517774637842,346.681271903874,336.567263932156,340.521354112741,322.962462321648,340.923583988254,334.089077899776,344.38779302094
"26",344.87,349.4802982754,355.253488780354,347.806984329403,347.945720973371,337.633842840232,341.674299831795,323.689928439825,342.074318302245,335.072303913818,345.623854746347
"27",346.35,350.864027577742,356.760734847228,349.15599682111,349.32047384761,338.745668308741,342.887994835235,324.581100442907,343.28747237266,336.21930639384,346.928163996153
"28",347.61,352.305166628327,358.325238684406,350.554114446945,350.774162677364,339.894733216023,344.150230864126,325.575033550965,344.546522776325,337.468261457308,348.285659936854
"29",349.31,353.798852409502,359.944401118272,352.002361428972,352.286853867834,341.086404666378,345.460831104892,326.629283255278,345.85020427225,338.777768409688,349.693956191995
"30",351.69,355.339100522574,361.611789721314,353.493939286971,353.854868430684,342.313612861993,346.812297289538,327.740877430116,347.192440695457,340.145271920172,351.14661216738
"31",353.2,356.945433909363,363.347130786349,355.048290836525,355.498855500845,343.595099004824,348.224201432472,328.932183605598,348.592462277762,341.594132864491,352.663470315193
"32",354.45,358.571979166774,365.104359949628,356.618227504203,357.16932771868,344.883174842616,349.649273978969,330.150168489167,350.002385090972,343.072858588379,354.19701420957
"33",355.7,360.122291315294,366.787944484544,358.107218585348,358.763375643506,346.083616666354,350.990810961873,331.284755269432,351.327718890432,344.471649264464,355.649619056169
"34",356.54,361.670241647371,368.476591483574,359.608003246027,360.297962619016,347.313940545632,352.338887594171,332.272161953073,352.665220009965,345.731673351748,357.101058908534
"35",357.21,363.028231334548,369.989604506248,360.953966692237,361.529158348494,348.427740498212,353.526636184623,332.810400332042,353.851513228664,346.563593083275,358.373731198416
"36",358.96,364.350901653375,371.455747428681,362.23890912772,362.790464016838,349.463514446325,354.65991966184,333.494787278827,354.991120066258,347.536153674717,359.602438186016
"37",360.97,365.791860591139,373.041200229216,363.61794972393,364.230049933188,350.568379726041,355.888911034215,334.438739817068,356.223844972888,348.760262706366,360.937643549973
"38",362.74,367.356638343452,374.771240644083,365.110118357308,365.825511601814,351.766630513597,357.229214955871,335.577344274719,357.558129105688,350.169174995324,362.389755719733
"39",363.88,369.027855433337,376.605656527585,366.702653634363,367.547852119606,353.022329296904,358.639290990822,336.825748899343,358.95319814414,351.68170154598,363.91709624734
